web-scraper-order,web-scraper-start-url,Occupations,Occupations-href
"1589579748-687","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Maintenance & repair workers, generalDetailed Occupation","https://datausa.io/profile/soc/maintenance-repair-workers-general"
"1589579748-632","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","CarpentersDetailed Occupation","https://datausa.io/profile/soc/carpenters"
"1589579748-682","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous office & administrative support workers, including desktop publishersDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-office-administrative-support-workers-including-desktop-publishers"
"1589579748-618","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Nursing, psychiatric, & home health aidesDetailed Occupation","https://datausa.io/profile/soc/nursing-psychiatric-home-health-aides"
"1589579748-626","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Personal care aidesDetailed Occupation","https://datausa.io/profile/soc/personal-care-aides"
"1589579748-657","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Automotive service technicians & mechanicsDetailed Occupation","https://datausa.io/profile/soc/automotive-service-technicians-mechanics"
"1589579748-684","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Farmers, ranchers, & other agricultural managersDetailed Occupation","https://datausa.io/profile/soc/farmers-ranchers-other-agricultural-managers"
"1589579748-673","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Property, real estate, & community association managersDetailed Occupation","https://datausa.io/profile/soc/property-real-estate-community-association-managers"
"1589579748-652","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Real estate brokers & sales agentsDetailed Occupation","https://datausa.io/profile/soc/real-estate-brokers-sales-agents"
"1589579748-621","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Stock clerks & order fillersDetailed Occupation","https://datausa.io/profile/soc/stock-clerks-order-fillers"
"1589579748-638","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Teacher assistantsDetailed Occupation","https://datausa.io/profile/soc/teacher-assistants"
"1589579748-671","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Health practitioner support technologists & techniciansDetailed Occupation","https://datausa.io/profile/soc/health-practitioner-support-technologists-technicians"
"1589579748-648","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","DesignersDetailed Occupation","https://datausa.io/profile/soc/designers"
"1589579748-660","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","ElectriciansDetailed Occupation","https://datausa.io/profile/soc/electricians"
"1589579748-622","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Maids & housekeeping cleanersDetailed Occupation","https://datausa.io/profile/soc/maids-housekeeping-cleaners"
"1589579748-670","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Sales representatives, services, all otherDetailed Occupation","https://datausa.io/profile/soc/sales-representatives-services-all-other"
