web-scraper-order,web-scraper-start-url,Industries,Industries-href
"1589579709-594","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Plastics product manufacturingIndustry Group","https://datausa.io/profile/naics/plastics-product-manufacturing"
"1589579709-575","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Bus service & urban transitIndustry Group","https://datausa.io/profile/naics/bus-service-urban-transit"
"1589579709-546","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Beauty salonsIndustry Group","https://datausa.io/profile/naics/beauty-salons"
"1589579709-562","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Electric power generation, transmission & distributionIndustry Group","https://datausa.io/profile/naics/electric-power-generation-transmission-distribution"
"1589579709-543","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","National security & international affairsIndustry Group","https://datausa.io/profile/naics/national-security-international-affairs"
"1589579709-553","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Investigation & security servicesIndustry Group","https://datausa.io/profile/naics/investigation-security-services"
"1589579709-558","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Couriers & messengersIndustry Group","https://datausa.io/profile/naics/couriers-messengers"
"1589579709-593","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Other professional, scientific & technical services Industry Group","https://datausa.io/profile/naics/other-professional-scientific-technical-services-"
"1589579709-599","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Industrial & miscellaneous chemicalsIndustry Group","https://datausa.io/profile/naics/industrial-miscellaneous-chemicals"
"1589579709-552","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Nondepository credit & related activitiesIndustry Group","https://datausa.io/profile/naics/nondepository-credit-related-activities"
"1589579709-505","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Restaurants & Food ServicesIndustry Group","https://datausa.io/profile/naics/restaurants-food-services"
"1589579709-604","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Other administrative & other support servicesIndustry Group","https://datausa.io/profile/naics/other-administrative-other-support-services"
"1589579709-568","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Medical equipment & supplies manufacturingIndustry Group","https://datausa.io/profile/naics/medical-equipment-supplies-manufacturing"
"1589579709-574","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Air transportationIndustry Group","https://datausa.io/profile/naics/air-transportation"
"1589579709-532","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Car DealersIndustry Group","https://datausa.io/profile/naics/car-dealers"
"1589579709-539","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Accounting, tax preparation, bookkeeping & payroll servicesIndustry Group","https://datausa.io/profile/naics/accounting-tax-preparation-bookkeeping-payroll-services"
"1589579709-536","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Automotive repair & maintenanceIndustry Group","https://datausa.io/profile/naics/automotive-repair-maintenance"
"1589579709-577","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Advertising, public relations & related servicesIndustry Group","https://datausa.io/profile/naics/advertising-public-relations-related-services"
"1589579709-569","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Electronic component & product manufacturing, n.e.c. Industry Group","https://datausa.io/profile/naics/electronic-component-product-manufacturing-nec-"
"1589579709-563","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Aircraft & parts manufacturingIndustry Group","https://datausa.io/profile/naics/aircraft-parts-manufacturing"
"1589579709-595","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Furniture & related product manufacturingIndustry Group","https://datausa.io/profile/naics/furniture-related-product-manufacturing"
"1589579709-545","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Private householdsIndustry Group","https://datausa.io/profile/naics/private-households"
"1589579709-556","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Other schools & instruction and educational support servicesIndustry Group","https://datausa.io/profile/naics/other-schools-instruction-and-educational-support-services"
"1589579709-586","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Waste management & remediation servicesIndustry Group","https://datausa.io/profile/naics/waste-management-remediation-services"
"1589579709-534","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Executive offices & legislative bodiesIndustry Group","https://datausa.io/profile/naics/executive-offices-legislative-bodies"
"1589579709-597","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Health & personal care, except drug, stores Industry Group","https://datausa.io/profile/naics/health-personal-care-except-drug-stores-"
"1589579709-572","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Wired telecommunications carriersIndustry Group","https://datausa.io/profile/naics/wired-telecommunications-carriers"
"1589579709-557","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Grocery & related product merchant wholesalersIndustry Group","https://datausa.io/profile/naics/grocery-related-product-merchant-wholesalers"
"1589579709-519","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Nursing Care FacilitiesIndustry Group","https://datausa.io/profile/naics/nursing-care-facilities"
"1589579709-528","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Architectural, engineering & related servicesIndustry Group","https://datausa.io/profile/naics/architectural-engineering-related-services"
"1589579709-518","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Truck transportationIndustry Group","https://datausa.io/profile/naics/truck-transportation"
"1589579709-583","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Not specified manufacturing industriesIndustry Group","https://datausa.io/profile/naics/not-specified-manufacturing-industries"
"1589579709-510","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Grocery StoresIndustry Group","https://datausa.io/profile/naics/grocery-stores"
"1589579709-559","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Warehousing & storageIndustry Group","https://datausa.io/profile/naics/warehousing-storage"
